DATE,GS1M
2001-07-01,3.67
2001-08-01,3.53
2001-09-01,2.68
2001-10-01,2.27
2001-11-01,1.99
2001-12-01,1.72
2002-01-01,1.68
2002-02-01,1.74
2002-03-01,1.79
2002-04-01,1.72
2002-05-01,1.74
2002-06-01,1.72
2002-07-01,1.72
2002-08-01,1.68
2002-09-01,1.67
2002-10-01,1.62
2002-11-01,1.26
2002-12-01,1.20
2003-01-01,1.17
2003-02-01,1.20
2003-03-01,1.18
2003-04-01,1.16
2003-05-01,1.08
2003-06-01,0.97
2003-07-01,0.90
2003-08-01,0.95
2003-09-01,0.91
2003-10-01,0.91
2003-11-01,0.94
2003-12-01,0.89
2004-01-01,0.85
2004-02-01,0.92
2004-03-01,0.96
2004-04-01,0.91
2004-05-01,0.91
2004-06-01,1.05
2004-07-01,1.19
2004-08-01,1.37
2004-09-01,1.55
2004-10-01,1.63
2004-11-01,1.92
2004-12-01,1.96
2005-01-01,2.05
2005-02-01,2.36
2005-03-01,2.65
2005-04-01,2.64
2005-05-01,2.65
2005-06-01,2.83
2005-07-01,3.10
2005-08-01,3.34
2005-09-01,3.23
2005-10-01,3.51
2005-11-01,3.91
2005-12-01,3.69
2006-01-01,4.12
2006-02-01,4.38
2006-03-01,4.55
2006-04-01,4.61
2006-05-01,4.70
2006-06-01,4.71
2006-07-01,4.90
2006-08-01,5.16
2006-09-01,4.77
2006-10-01,4.97
2006-11-01,5.21
2006-12-01,4.87
2007-01-01,4.94
2007-02-01,5.18
2007-03-01,5.21
2007-04-01,4.99
2007-05-01,4.82
2007-06-01,4.52
2007-07-01,4.82
2007-08-01,4.20
2007-09-01,3.78
2007-10-01,3.81
2007-11-01,3.68
2007-12-01,2.86
2008-01-01,2.74
2008-02-01,2.27
2008-03-01,1.35
2008-04-01,1.07
2008-05-01,1.76
2008-06-01,1.72
2008-07-01,1.60
2008-08-01,1.68
2008-09-01,0.89
2008-10-01,0.29
2008-11-01,0.09
2008-12-01,0.03
2009-01-01,0.05
2009-02-01,0.22
2009-03-01,0.10
2009-04-01,0.10
2009-05-01,0.14
2009-06-01,0.10
2009-07-01,0.15
2009-08-01,0.12
2009-09-01,0.06
2009-10-01,0.04
2009-11-01,0.05
2009-12-01,0.03
2010-01-01,0.02
2010-02-01,0.06
2010-03-01,0.12
2010-04-01,0.15
2010-05-01,0.15
2010-06-01,0.08
2010-07-01,0.16
2010-08-01,0.15
2010-09-01,0.12
2010-10-01,0.14
2010-11-01,0.13
2010-12-01,0.09
2011-01-01,0.14
2011-02-01,0.11
2011-03-01,0.06
2011-04-01,0.03
2011-05-01,0.02
2011-06-01,0.02
2011-07-01,0.04
2011-08-01,0.02
2011-09-01,0.01
2011-10-01,0.01
2011-11-01,0.01
2011-12-01,0.00
2012-01-01,0.02
2012-02-01,0.06
2012-03-01,0.06
2012-04-01,0.07
2012-05-01,0.07
2012-06-01,0.05
2012-07-01,0.07
2012-08-01,0.09
2012-09-01,0.08
2012-10-01,0.11
2012-11-01,0.12
2012-12-01,0.04
2013-01-01,0.05
2013-02-01,0.08
2013-03-01,0.08
2013-04-01,0.05
2013-05-01,0.02
2013-06-01,0.03
2013-07-01,0.02
2013-08-01,0.04
2013-09-01,0.02
2013-10-01,0.11
2013-11-01,0.05
2013-12-01,0.02
2014-01-01,0.02
2014-02-01,0.05
2014-03-01,0.05
2014-04-01,0.02
2014-05-01,0.03
2014-06-01,0.02
2014-07-01,0.02
2014-08-01,0.03
2014-09-01,0.01
2014-10-01,0.02
2014-11-01,0.04
2014-12-01,0.03
2015-01-01,0.02
2015-02-01,0.02
2015-03-01,0.02
2015-04-01,0.02
2015-05-01,0.01
2015-06-01,0.01
2015-07-01,0.03
2015-08-01,0.04
2015-09-01,0.01
2015-10-01,0.01
2015-11-01,0.07
2015-12-01,0.17
2016-01-01,0.23
2016-02-01,0.26
2016-03-01,0.25
2016-04-01,0.19
2016-05-01,0.23
2016-06-01,0.22
2016-07-01,0.26
2016-08-01,0.26
2016-09-01,0.19
2016-10-01,0.24
2016-11-01,0.30
2016-12-01,0.42
2017-01-01,0.50
2017-02-01,0.48
2017-03-01,0.66
2017-04-01,0.75
2017-05-01,0.73
2017-06-01,0.84
2017-07-01,0.97
2017-08-01,0.98
2017-09-01,0.99
2017-10-01,1.00
2017-11-01,1.09
2017-12-01,1.20
2018-01-01,1.30
2018-02-01,1.38
2018-03-01,1.64
2018-04-01,1.66
2018-05-01,1.71
2018-06-01,1.81
2018-07-01,1.89
2018-08-01,1.94
2018-09-01,2.04
2018-10-01,2.17
2018-11-01,2.24
2018-12-01,2.37
2019-01-01,2.40
2019-02-01,2.43
2019-03-01,2.45
2019-04-01,2.43
2019-05-01,2.40
